Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,109.474,-67.691,0,top
C2,100n,C_0805_2012Metric,126.4412,-76.708,90,top
C3,47p,C_0805_2012Metric,119.0752,-76.708,-90,top
C4,470n,C_0805_2012Metric,135.128,-59.182,180,top
D1,LED,LED_1W_3W_R8,119.888,-65.278,90,top
D2,LED,LED_1W_3W_R8,127,-58.166,90,top
J5,USB_B_Micro,USB_Micro-B_Molex-105017-0001,118.618,-50.12,180,top
Q1,PZT2222A,SOT-223-3_TabPin2,134.366,-68.58,90,top
R1,10,R_1206_3216Metric,131.572,-50.292,-90,top
R2,10,R_1206_3216Metric,115.57,-56.388,-90,top
R3,220,R_0805_2012Metric,128.3208,-72.009,0,top
R4,10,R_1206_3216Metric,119.38,-55.118,180,top
R5,10,R_1206_3216Metric,129.032,-50.292,-90,top
U1,ATtiny412-SS,SOIC-8_3.9x4.9mm_P1.27mm,109.474,-71.755,0,top
U2,TTP223,SOT-23-6,122.682,-76.708,0,top
